#Version|63|Issue date|30/8/2017|Use from |3/9/2017|||||||||||||||||||25 fields
#-------------|-------------|----------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|||||||||||||||
#SERVICES|2 Digit Service Code|3 Digit Service Code|DPD Product Desc|DPD Label Service Desc|ILK Product Desc|ILK Label Service Desc|ILK Alternative Service Desc|DPDPremium|Old DPD|Old ILK|ILK Max Parcels per con|ILK Max Weight per parcel|DPD Max Parcels per con|DPD Max Weight per parcel|DPD Alternative Service Desc|ILKPremium|seC DPD|seC ILK||||||
SERVICE|01|801|Parcel|Sunday|expresspak1|homecall||N||241|1|1|99|30||N|101|241||||||
SERVICE|03|803|Swapit|Sunday|expresspak1|by 12||N||243|1|1|1|30||Y|110|243||||||
SERVICE|04|804|Swapit|Sun 12:00|expresspak1|by 10:30|by 11|Y||244|1|1|1|30||Y|111|244||||||
SERVICE|05|805|Swapit|Sun 10:30|expresspak1|sat 12||Y||247|1|1|1|30|Sun 11:00|Y|112|247||||||
SERVICE|06|806|Freight|Sunday|expresspak1|sat 10:30|sat 11|N||248|1|1|99|999||Y|116|248||||||
SERVICE|07|807|Parcel|Sun 10:30||||Y|||||99|30|Sun 11:00||103|||||||
SERVICE|08|808|Pallet|Sunday|parcel|by 10:30|by 11|N||214|99|30|99|999||Y|113|214||||||
SERVICE|09|809|ExpressPak|Sunday|parcel|sat 10:30|sat 11|N||218|99|30|1|5||Y|104|218||||||
SERVICE|10|302|DPD Express Parcel|ie2|DPD Express Parcel|ie2||N|10||20|31.5|20|31.5||N|10|||||||
SERVICE|11|811|Parcel|Two Day|parcel|two day||N|11|209|99|999|99|30||N|11|209||||||
SERVICE|12|812|Parcel|Next Day|parcel|next day||N|12|212|99|30|99|30||N|12|212||||||
SERVICE|13|813|Parcel|DPD 12:00|parcel|by 12||Y|13|213|99|30|99|30||Y|13|213||||||
SERVICE|14|814|Parcel|DPD 10:30||||Y|14||||99|30|DPD 11:00||14|||||||
SERVICE|15|815|Parcel|Timed|parcel|sun 12:00||Y|15||99|30|99|30||Y|15|302||||||
SERVICE|16|816|Parcel|Saturday||||N|16||||99|30|||16|||||||
SERVICE|17|817|Parcel|Sat 12:00|parcel|sat 12||Y|17|217|99|30|99|30||Y|17|217||||||
SERVICE|18|818|Parcel|Sat 10:30||||Y|18||||99|30|Sat 11:00||18|||||||
SERVICE|19|101|DPD Classic Parcel|D|DPD Classic Parcel|D||N|19||20|31.5|99|31.5||N|19|||||||
SERVICE|21|821|Home Delivery|Evening||||N|21||||99|30|||21|||||||
SERVICE|23|823|ExpressPak|Sun 10:30|expresspak5|sun 10:30|sun 11:00|Y|||1|5|1|5|Sun 11:00|Y|106|306||||||
SERVICE|24|824|Freight|Sun 10:30|freight|sun 10:30|sun 11:00|Y|||99|999|99|999|Sun 11:00|Y|118|318||||||
SERVICE|25|825|Home Delivery|Afternoon||||N|25||||99|30|||25|||||||
SERVICE|28|828|Pallet|Sun 10:30|expresspak5|by 10:30|by 11|Y||234|1|5|99|999|Sun 11:00|Y|115|234||||||
SERVICE|29|829|Parcel|Sun 12:00|expresspak5|sat 10:30|sat 11|Y||238|1|5|99|30||Y|102|238||||||
SERVICE|30|302|DPD Express Document|ie2|DPD Express Document|ie2||N|30||20|31.5|20|31.5||N|30|||||||
SERVICE|31|831|Freight|Sun 12:00|expresspak5|homecall||Y||231|1|5|99|999||N|117|231||||||
SERVICE|32|832|ExpressPak|Next Day|expresspak5|next day||N|32|232|1|5|1|5||N|32|232||||||
SERVICE|33|833|ExpressPak|DPD 12:00|expresspak5|by 12||Y|33|233|1|5|1|5||Y|33|233||||||
SERVICE|34|834|ExpressPak|DPD 10:30||||Y|34||||1|5|DPD 11:00||34|||||||
SERVICE|35|835|ExpressPak|Timed|parcel|sun 10:30|sun 11:00|Y|35||99|30|1|5||Y|35|303||||||
SERVICE|36|836|ExpressPak|Saturday||||N|36||||1|5|||36|||||||
SERVICE|37|837|ExpressPak|Sat 12:00|expresspak5|sat 12||Y|37|237|1|5|1|5||Y|37|237||||||
SERVICE|38|838|ExpressPak|Sat 10:30||||Y|38||||1|5|Sat 11:00||38|||||||
SERVICE|39|136|DPD Expresspak|D||||N|39||||1|3|||39|||||||
SERVICE|41|841|Swapit|Two Day||||N|41||||1|30|||41|||||||
SERVICE|42|842|Swapit|Next Day||||N|42||||1|30|||42|||||||
SERVICE|43|843|Swapit|DPD 12:00||||Y|43||||1|30|||43|||||||
SERVICE|44|844|Swapit|DPD 10:30||||Y|44||||1|30|DPD 11:00||44|||||||
SERVICE|45|845|Swapit|Timed|freight|sun 12:00||Y|45||99|999|1|30||Y|45|317||||||
SERVICE|46|846|Swapit|Saturday||||N|46||||1|30|||46|||||||
SERVICE|47|847|Swapit|Sat 12:00|expresspak1|sun 12:00||Y|47||1|1|1|30||Y|47|308||||||
SERVICE|48|848|Swapit|Sat 10:30||||Y|48||||1|30|Sat 11:00||48|||||||
SERVICE|49|849|Swapit|Afternoon|expresspak1|sun 10:30|sun 11:00|N|49||1|1|1|30||Y|49|309||||||
SERVICE|50|302|DPD Air Express|ie2|DPD Air Express|ie2||N|50||20|31.5|20|31.5||N|50|||||||
SERVICE|51|851|ExpressPak|Sun 12:00|expresspak5|sun 12:00||Y|||1|5|1|5||Y|105|305||||||
SERVICE|53|853|Swapit|Evening||||N|53||||1|30|||53|||||||
SERVICE|55|855|Reverse-It|Next Day|reverse-it|next day||N|||99|30|99|30||N||||||||
SERVICE|56|856|Reverse-It|Two Day|reverse-it|two day||N|||99|30|99|30||N||||||||
SERVICE|57|857|||parcel|homecall||N||211|99|30||||N||211||||||
SERVICE|58|858||DPD Direct||DPD Direct||N|58|258|10|30|10|30||N|58|258||||||
SERVICE|59|859||Homecall||||N|09||||9|10|||09|||||||
SERVICE|60|325|DPD Air Classic|ie2 VALUE|DPD Air Classic|ie2 VALUE||N|60||20|31.5|20|31.5||N|60|||||||
SERVICE|62|862|Desk-to-Desk|Next Day||||N|62||||5|15|||62|||||||
SERVICE|63|863|Desk-to-Desk|DPD 12:00||||Y|63||||5|15|||63|||||||
SERVICE|64|864|Desk-to-Desk|DPD 10:30||||Y|64||||5|15|DPD 11:00||64|||||||
SERVICE|65|865|||freight|by 10:30|by 11|Y||284|99|999||||Y||284||||||
SERVICE|66|866|Desk-to-Desk|Saturday||||N|66||||5|15|||66|||||||
SERVICE|67|867|||freight|homecall||N||281|99|999||||N||281||||||
SERVICE|68|868|||expresspak1|next day||N||242|1|1||||N||242||||||
SERVICE|69|869|Pallet|Sun 12:00|freight|sat 10:30|sat 11|Y||288|99|999|99|999||Y|114|288||||||
SERVICE|70|302|DPD Express EU|ie2|DPD Express EU|ie2||N|70||20|31.5|20|31.5||N|70|||||||
